Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Object_ID	Accession-2
cobS		443217	443972	cobalamin 5'-phosphate synthase	cobS	SYNPCC7942_0454	SYNPCC7942_RS02320
sigI		2073028	2073618	sigma-24 (FecI-like)	SYNPCC7942_2005 // sigI	SYNPCC7942_2004	SYNPCC7942_RS10165
pyrF		2648098	2648820	orotidine 5'-phosphate decarboxylase	tyrS // pyrF // SYNPCC7942_2568	SYNPCC7942_2569	SYNPCC7942_RS13055
SYNPCC7942_1391		1436154	1437692	Mg chelatase-related protein	SYNPCC7942_1391	SYNPCC7942_1391	SYNPCC7942_RS07120
psbA1		413873	414955	D1 protein	psbA1	SYNPCC7942_0424	SYNPCC7942_RS02165
ndhD1		2045793	2047397	proton-translocating NADH-quinone oxidoreductase, subunit NdhD1	ndhF1 // ndhD1 // SYNPCC7942_1975	SYNPCC7942_1976	SYNPCC7942_RS10020
petJ3		2623378	2623725	putative cytochrome C6-2	SYNPCC7942_2544 // SYNPCC7942_2543 // petJ3	SYNPCC7942_2542	SYNPCC7942_RS12915
SYNPCC7942_1367		1405262	1406629	cytochrome P450	SYNPCC7942_1368 // SYNPCC7942_1367	SYNPCC7942_1367	SYNPCC7942_RS06995
SYNPCC7942_0388		380870	381991	probable glycosyltransferase	SYNPCC7942_0388	SYNPCC7942_0388	SYNPCC7942_RS01980
pyrG		2026183	2027877	CTP synthase	pyrG // sscR2	SYNPCC7942_1954	SYNPCC7942_RS09920
SYNPCC7942_2519		2599191	2601896	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	SYNPCC7942_2519	SYNPCC7942_2519	SYNPCC7942_RS12790
rfbD		1375911	1377002	GDP-mannose 4,6-dehydratase	rfbD	SYNPCC7942_1342	SYNPCC7942_RS06860
SYNPCC7942_0354		346832	348460	Beta-glucosidase-related glycosidases-like	rbfA // SYNPCC7942_0354	SYNPCC7942_0354	SYNPCC7942_RS01800
sigG		1999240	1999896	sigma-24 (FecI-like)	sigG	SYNPCC7942_1923	SYNPCC7942_RS09760
livJ		2576687	2577886	branched-chain amino acid ABC transporter periplasmic amino acid-binding protein	ndk // livJ // livH // livM // livG // livF	SYNPCC7942_2496	SYNPCC7942_RS12665
gid		1344583	1345983	gid protein	gid	SYNPCC7942_1315	SYNPCC7942_RS06725
atpE		328854	329099	ATP synthase Fo, c subunit	atpE // atpB // SYNPCC7942_0330 // SYNPCC7942_0329	SYNPCC7942_0332	SYNPCC7942_RS01690
dcd2		1972832	1973413	Deoxycytidine triphosphate deaminase	dcd2	SYNPCC7942_1900	SYNPCC7942_RS09635
SYNPCC7942_2466		2546850	2547557	two component transcriptional regulator, winged helix family	SYNPCC7942_2466	SYNPCC7942_2466	SYNPCC7942_RS12535
dnaG		1313939	1316023	DNA primase	dnaG	SYNPCC7942_1292	SYNPCC7942_RS06610
ispE		309473	310417	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	SYNPCC7942_0312 // ksgA // ispE	SYNPCC7942_0310	SYNPCC7942_RS01580
trmH2		1946154	1946624	RNA methyltransferase TrmH, group 2	trmH2	SYNPCC7942_1874	SYNPCC7942_RS09505
pgm2		1291777	1293231	Phosphoglucomutase	pgm2	SYNPCC7942_1268	SYNPCC7942_RS06495
ccmK4		281054	281395	carbon dioxide concentrating mechanism protein CcmK	ccmK4	SYNPCC7942_0285	SYNPCC7942_RS01450
cobI		1921478	1922182	precorrin-2 C20-methyltransferase	cobB // cobJ // cobI // cobH // cobG	SYNPCC7942_1853	SYNPCC7942_RS09400
mnmG		2494868	2496775	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	mnmG // SYNPCC7942_2422	SYNPCC7942_2423	SYNPCC7942_RS12310
SYNPCC7942_1244		1268365	1269663	ATPase	SYNPCC7942_1244	SYNPCC7942_1244	SYNPCC7942_RS06375
uppS		261617	262372	undecaprenyl diphosphate synthase	uppS // SYNPCC7942_0263	SYNPCC7942_0264	SYNPCC7942_RS01345
nblB		1894500	1895159	phycobilisome degradation protein NblB	SYNPCC7942_1824 // nblB	SYNPCC7942_1823	SYNPCC7942_RS09250
oplA		2461433	2465122	5-oxoprolinase (ATP-hydrolyzing)	oplA	SYNPCC7942_2390	SYNPCC7942_RS12145
pcyA		1246181	1246927	phycocyanobilin:ferredoxin oxidoreductase	pcyA	SYNPCC7942_1225	SYNPCC7942_RS06275
hliC		238379	238522	possible high light inducible polypeptide HliC	hliC	SYNPCC7942_0243	SYNPCC7942_RS01240
smpB		1865979	1866443	SsrA-binding protein	SYNPCC7942_1796 // smpB	SYNPCC7942_1795	SYNPCC7942_RS09120
prfC		2430839	2432509	peptide chain release factor 3 Small GTP-binding protein domain	prfC	SYNPCC7942_2365	SYNPCC7942_RS12015
psbA3		903201	904283	photosystem II D1 protein	psbA3	SYNPCC7942_0893	SYNPCC7942_RS04600
SYNPCC7942_1205		1233775	1233939	phage_integrase-like	SYNPCC7942_1206 // SYNPCC7942_1205	SYNPCC7942_1205	SYNPCC7942_RS06170
maf		211824	212450	maf protein	maf	SYNPCC7942_0209	SYNPCC7942_RS01060
cydA		1834078	1835490	cytochrome d ubiquinol oxidase subunit I	cydA	SYNPCC7942_1767	SYNPCC7942_RS08980
psaI		2411023	2411139	PsaI	psaI	SYNPCC7942_2343	SYNPCC7942_RS11905
cheW		862987	863946	CheW protein	cheW // cheA // pixJ	SYNPCC7942_0860	SYNPCC7942_RS04435
ndhC		1211703	1212104	NADH dehydrogenase subunit 3	ndhJ // ndhK // ndhC	SYNPCC7942_1180	SYNPCC7942_RS06045
ggt		182620	184146	&gamma;-glutamyltransferase	SYNPCC7942_0186 // ggt	SYNPCC7942_0185	SYNPCC7942_RS00940
sufD		1807075	1808403	FeS assembly protein SufD	sufS // sufD // sufC	SYNPCC7942_1737	SYNPCC7942_RS08840
SYNPCC7942_2321		2390121	2390642	TPR repeat	gatC // SYNPCC7942_2321 // SYNPCC7942_2320	SYNPCC7942_2321	SYNPCC7942_RS11800
asnS		823942	825330	asparaginyl-tRNA synthetase	asnS	SYNPCC7942_0830	SYNPCC7942_RS04290
SYNPCC7942_1148		1172695	1173912	metal dependent phosphohydrolase	SYNPCC7942_1148	SYNPCC7942_1148	SYNPCC7942_RS05880
psfR		152527	154917	PsbAI-stimulating factor	psfR	SYNPCC7942_0151	SYNPCC7942_RS00765
upp		1783250	1783903	uracil phosphoribosyltransferase	SYNPCC7942_1716 // upp	SYNPCC7942_1715	SYNPCC7942_RS08725
SYNPCC7942_2298		2368966	2369589	Holliday junction DNA helicase RuvA	SYNPCC7942_2300 // rpsO // SYNPCC7942_2298	SYNPCC7942_2298	SYNPCC7942_RS11680
SYNPCC7942_0802		795917	796504	allophycocyanin alpha chain-like	SYNPCC7942_0802	SYNPCC7942_0802	SYNPCC7942_RS04150
SYNPCC7942_1121		1138464	1140623	serine/threonine protein kinase	SYNPCC7942_1121	SYNPCC7942_1121	SYNPCC7942_RS05745
SYNPCC7942_0124		124070	124669	thiol methyltransferase 1-like	SYNPCC7942_0124	SYNPCC7942_0124	SYNPCC7942_RS00630
rdhA		1755915	1756877	rhodanese-like	SYNPCC7942_1691 // SYNPCC7942_1690 // rdhA	SYNPCC7942_1689	SYNPCC7942_RS08605
cobU		2336072	2337217	Nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase	folK // nudF // SYNPCC7942_2270 // SYNPCC7942_2269 // cobU	SYNPCC7942_2268	SYNPCC7942_RS11525
folD		768669	769538	Methylenetetrahydrofolate dehydrogenase (NADP+)	folD	SYNPCC7942_0777	SYNPCC7942_RS04030
thiC		1113354	1114724	thiamine biosynthesis protein ThiC	thiC	SYNPCC7942_1096	SYNPCC7942_RS05625
pyk		98302	100086	pyruvate kinase	pyk	SYNPCC7942_0098	SYNPCC7942_RS00500
cysS		1731811	1733247	cysteinyl-tRNA synthetase	cysS	SYNPCC7942_1662	SYNPCC7942_RS08475
SYNPCC7942_2242		2307254	2308246	two-component sensor histidine kinase	proA1 // SYNPCC7942_2242	SYNPCC7942_2242	SYNPCC7942_RS11380
SYNPCC7942_0731		725474	727354	putative phage terminase large subunit	SYNPCC7942_0731	SYNPCC7942_0731	SYNPCC7942_RS03780
SYNPCC7942_1065		1075365	1078484	DNA/RNA helicase, DEAD/DEAH box type	SYNPCC7942_1067 // SYNPCC7942_1066 // SYNPCC7942_1065 // hsdS	SYNPCC7942_1065	SYNPCC7942_RS05465
SYNPCC7942_0076		75091	75852	extracellular solute-binding protein, family 3	SYNPCC7942_0076 // pepP	SYNPCC7942_0076	SYNPCC7942_RS00375
SYNPCC7942_1631		1699269	1700168	TPR repeat	SYNPCC7942_1631 // petJ2	SYNPCC7942_1631	SYNPCC7942_RS08320
rplN		2294280	2294645	50S ribosomal subunit protein L14	rplD // rplW // rplB // rpsS // rplV // rpsC // rplP // rpmC // rpsQ // rplN // rplX	SYNPCC7942_2222	SYNPCC7942_RS11285
SYNPCC7942_0695		688334	688840	Protein of unknown function DUF193	SYNPCC7942_0695	SYNPCC7942_0695	SYNPCC7942_RS03565
thyX		1056740	1057462	flavin-dependent thymidylate synthase	thyX	SYNPCC7942_1044	SYNPCC7942_RS05355
SYNPCC7942_0047		46515	48881	TPR repeat	SYNPCC7942_0047 // SYNPCC7942_0046	SYNPCC7942_0047	SYNPCC7942_RS00235
manC		1673935	1675344	Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	manC	SYNPCC7942_1608	SYNPCC7942_RS08205
rplM		2285062	2285517	50S ribosomal subunit protein L13	rpoA // rplQ // truA // rplM // rpsI // rpmE	SYNPCC7942_2206	SYNPCC7942_RS11210
SYNPCC7942_0666		663141	663761	Heat shock protein DnaJ-like	SYNPCC7942_0666	SYNPCC7942_0666	SYNPCC7942_RS03410
sphR		1023969	1024742	SphR-P<sup>asp</sup> // SphR response-regulator	sphR // sphS // rsuA1 // SYNPCC7942_1009	SYNPCC7942_1012	SYNPCC7942_RS05195
sir		18615	20489	Sulfite reductase, ferredoxin dependent	SYNPCC7942_0020 // sir	SYNPCC7942_0019	SYNPCC7942_RS00100
ampD1		1650201	1650986	N-acetylmuramoyl-L-alanine amidase, family 2	ampD1 // SYNPCC7942_1584	SYNPCC7942_1585	SYNPCC7942_RS08095
natD		2257143	2258033	neutural amino acids ABC transporter integral membrane protein	natD	SYNPCC7942_2177	SYNPCC7942_RS11065
eno		630677	631969	enolase	eno	SYNPCC7942_0639	SYNPCC7942_RS03280
SYNPCC7942_0988		996948	997274	conserved hypothetical protein YCF54	SYNPCC7942_0988	SYNPCC7942_0988	SYNPCC7942_RS05075
draG		1618800	1619696	ADP-ribosylglycohydrolase-like	draG	SYNPCC7942_1562	SYNPCC7942_RS07970
infA		2226468	2226803	probable translation initiation factor SUI1	infA	SYNPCC7942_2142	SYNPCC7942_RS10875
hrcA		606238	607299	heat-inducible transcription repressor HrcA	hrcA	SYNPCC7942_0616	SYNPCC7942_RS03160
SYNPCC7942_0963		971259	971639	probable methyltransferase	SYNPCC7942_0963 // sun	SYNPCC7942_0963	SYNPCC7942_RS04950
sdhB		1592254	1593093	succinate dehydrogenase subunit B	sdhB	SYNPCC7942_1533	SYNPCC7942_RS07835
gatA		2198155	2199594	glutamyl-tRNA(Gln) amidotransferase, A subunit	gatA // SYNPCC7942_2116	SYNPCC7942_2117	SYNPCC7942_RS10735
SYNPCC7942_0590		578620	578967	membrane protein-like	SYNPCC7942_0591 // SYNPCC7942_0590	SYNPCC7942_0590	SYNPCC7942_RS03025
ftsH2		947957	949849	ATP-dependent metalloprotease FtsH	ftsH2	SYNPCC7942_0942	SYNPCC7942_RS04845
SYNPCC7942_1515		1565391	1566290	protein serine/threonine phosphatases	SYNPCC7942_1515	SYNPCC7942_1515	SYNPCC7942_RS07745
cupS		2176209	2176610	CO2 hydration protein	cupS	SYNPCC7942_2094	SYNPCC7942_RS10615
SYNPCC7942_0565		546588	547250	FHA domain containing protein	SYNPCC7942_0566 // SYNPCC7942_0565	SYNPCC7942_0565	SYNPCC7942_RS02875
psaK		926720	926974	photosystem I reaction center	psaK	SYNPCC7942_0920	SYNPCC7942_RS04735
cmpB		1539953	1540789	bicarbonatee transport permease	cmpD // cmpC // cmpB // cmpA	SYNPCC7942_1489	SYNPCC7942_RS07610
dnaJ1		2152639	2153769	heat shock protein DnaJ-1	rsgA // SYNPCC7942_2075 // dnaJ1	SYNPCC7942_2074	SYNPCC7942_RS10515
SYNPCC7942_0531		515313	516176	TPR repeat	SYNPCC7942_0531 // SYNPCC7942_0530 // pgl	SYNPCC7942_0531	SYNPCC7942_RS02700
sepT2		2340	2723	VapC-like toxin	sepT2 // sepA2	SYNPCC7942_B2659	SYNPCC7942_RS13355
somA(1)		1517237	1518832	SomA outer membrane protein	somA(1)	SYNPCC7942_1464	SYNPCC7942_RS07490
hemA		490382	491698	glutamyl-tRNA reductase	hemA // SYNPCC7942_0503 // SYNPCC7942_0502 // SYNPCC7942_0501 // SYNPCC7942_0500	SYNPCC7942_0504	SYNPCC7942_RS02560
SYNPCC7942_2057		2135125	2135757	Protein of unknown function DUF205	SYNPCC7942_2057	SYNPCC7942_2057	SYNPCC7942_RS10435
srpA		11202	12299	catalase	srpA // anL45	SYNPCC7942_B2620	SYNPCC7942_RS13410
thrB		1494173	1495093	homoserine kinase	thrB	SYNPCC7942_1440	SYNPCC7942_RS07365
petN		460449	460544	PetN	petN // SYNPCC7942_0474	SYNPCC7942_0475	SYNPCC7942_RS02420
SYNPCC7942_2028		2096615	2097676	probable glycosyltransferase	SYNPCC7942_2028 // SYNPCC7942_2027 // SYNPCC7942_2026 // SYNPCC7942_2025	SYNPCC7942_2028	SYNPCC7942_RS10290
ubiD		2671412	2672932	4-hydroxy-3-polyprenylbenzoate decarboxylase	ubiD // SYNPCC7942_2587	SYNPCC7942_2588	SYNPCC7942_RS13180
chlL		1472585	1473445	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein	chlL	SYNPCC7942_1419	SYNPCC7942_RS07260
sek0020		440050	440295	putative NifU-like protein	sek0020	SYNPCC7942_0450	SYNPCC7942_RS02300
rbp2		2067448	2067735	RNA-binding region RNP-1	rbp2	SYNPCC7942_1999	SYNPCC7942_RS10135
efp		2644835	2645392	translation elongation factor P	efp	SYNPCC7942_2565	SYNPCC7942_RS13035
ecaA		1433659	1434372	carbonic anhydrase	ecaA	SYNPCC7942_1388	SYNPCC7942_RS07105
trpA		402191	402991	tryptophan synthase, alpha subunit	ndhL // SYNPCC7942_0412 // trpA	SYNPCC7942_0411	SYNPCC7942_RS02095
SYNPCC7942_1972		2042290	2043057	TPR repeat	SYNPCC7942_1972	SYNPCC7942_1972	SYNPCC7942_RS10000
clpR		2620274	2620960	ClpR	clpR	SYNPCC7942_2538	SYNPCC7942_RS12885
SYNPCC7942_1360		1399742	1401052	cell envelope-related function transcriptional attenuator common domain	SYNPCC7942_1361 // SYNPCC7942_1360	SYNPCC7942_1360	SYNPCC7942_RS06955
SYNPCC7942_0378		372532	373326	Protein of unknown function DUF140	SYNPCC7942_0378	SYNPCC7942_0378	SYNPCC7942_RS01925
ftn2		2016143	2018038	cell division protein Ftn2	ftn2	SYNPCC7942_1943	SYNPCC7942_RS09860
argF		2593241	2594158	ornithine carbamoyltransferase	argF	SYNPCC7942_2514	SYNPCC7942_RS12760
pabC		1366177	1366971	probable branched-chain amino acid aminotransferase	pabC // pabB // queC // SYNPCC7942_1332 // SYNPCC7942_1331	SYNPCC7942_1335	SYNPCC7942_RS06825
SYNPCC7942_0351		343699	344832	putative ABC transport system substrate-binding protein	SYNPCC7942_0351 // SYNPCC7942_0350	SYNPCC7942_0351	SYNPCC7942_RS01785
SYNPCC7942_1919		1994565	1995326	transcriptional regulator, XRE family	SYNPCC7942_1919	SYNPCC7942_1919	SYNPCC7942_RS09740
livG		2574061	2574822	branched-chain amino acid ABC transporter ATP-binding component	ndk // livJ // livH // livM // livG // livF	SYNPCC7942_2493	SYNPCC7942_RS12650
SYNPCC7942_1312		1338656	1340458	ATPase	SYNPCC7942_1312	SYNPCC7942_1312	SYNPCC7942_RS06710
apcA		322930	323415	allophycocyanin &alpha; subunit	apcA	SYNPCC7942_0327	SYNPCC7942_RS01665
argJ		1968654	1969898	arginine biosynthesis bifunctional protein ArgJ	leuC // devT // argJ	SYNPCC7942_1896	SYNPCC7942_RS09615
SYNPCC7942_2462		2542826	2544106	probable sugar kinase	metK // SYNPCC7942_2462	SYNPCC7942_2462	SYNPCC7942_RS12515
pmbA1		1311841	1313181	putative modulator of DNA gyrase	pmbA1	SYNPCC7942_1289	SYNPCC7942_RS06600
SYNPCC7942_0307		304710	305936	Na+/H+ antiporter	ndhF4 // cupB // SYNPCC7942_0307	SYNPCC7942_0307	SYNPCC7942_RS01565
hlyD2		1941531	1942814	Secretion protein HlyD	hlyD2 // SYNPCC7942_1869	SYNPCC7942_1870	SYNPCC7942_RS09490
pstB		2517856	2518650	Phosphate ABC transporter, permease protein PstB	pstB	SYNPCC7942_2441	SYNPCC7942_RS12405
SYNPCC7942_1263		1286711	1287835	N6-adenine-specific DNA methylase-like	SYNPCC7942_1263	SYNPCC7942_1263	SYNPCC7942_RS06470
glyA		278139	279422	Glycine hydroxymethyltransferase	glyA // SYNPCC7942_0281 // cinA	SYNPCC7942_0282	SYNPCC7942_RS01435
cobL2		1917870	1919099	precorrin-6B C5,15-methyltransferase (decarboxylating)	cobL2	SYNPCC7942_1850	SYNPCC7942_RS09385
lrrA		2490633	2491517	transcriptional regulator	lrrA	SYNPCC7942_2418	SYNPCC7942_RS12285
nirB		1265088	1266137	nitrite reductase related protein	ntcB // nirB	SYNPCC7942_1241	SYNPCC7942_RS06360
rimI		258579	259178	ribosomal-protein-alanine acetyltransferase	rimI	SYNPCC7942_0261	SYNPCC7942_RS01330
SYNPCC7942_1815		1887216	1888451	response regulator receiver domain protein (CheY-like)	ltnB // SYNPCC7942_1815 // SYNPCC7942_1814	SYNPCC7942_1815	SYNPCC7942_RS09215
hypD		2455998	2457101	hydrogenase expression/formation protein HypD	hypD // SYNPCC7942_2385 // nifJ	SYNPCC7942_2386	SYNPCC7942_RS12125
truB		1242925	1243809	tRNA pseudouridine synthase B	truB	SYNPCC7942_1222	SYNPCC7942_RS06260
petJ1		234331	234669	cytochrome C6	petJ1 // SYNPCC7942_0238 // SYNPCC7942_0237	SYNPCC7942_0239	SYNPCC7942_RS01215
hemB		1863290	1864270	porphobilinogen synthase	hemB	SYNPCC7942_1792	SYNPCC7942_RS09105
amiA3		2426823	2427857	N-acetylmuramoyl-L-alanine amidase	murI // amiA3	SYNPCC7942_2360	SYNPCC7942_RS11990
SYNPCC7942_0888		894280	894639	mannose-1-phosphate guanylyltransferase-like	SYNPCC7942_0889 // SYNPCC7942_0888	SYNPCC7942_0888	SYNPCC7942_RS04575
SYNPCC7942_1199		1227303	1228007	probable tRNA/rRNA methyltransferase	SYNPCC7942_1202 // SYNPCC7942_1201 // SYNPCC7942_1200 // SYNPCC7942_1199	SYNPCC7942_1199	SYNPCC7942_RS06140
SYNPCC7942_0205		206198	207214	nicotinamide mononucleotide adenylyltransferase	SYNPCC7942_0205	SYNPCC7942_0205	SYNPCC7942_RS01040
ald		1826528	1827619	alanine dehydrogenase	ald	SYNPCC7942_1760	SYNPCC7942_RS08945
ampD2		2404597	2405550	N-acetylmuramoyl-L-alanine amidase, family 2	ampD2	SYNPCC7942_2337	SYNPCC7942_RS11875
SYNPCC7942_0857		855315	855821	CheW protein	SYNPCC7942_0857 // cheY2	SYNPCC7942_0857	SYNPCC7942_RS04420
psbE		1209715	1209966	PsbE	psbE // psbF // psbL	SYNPCC7942_1177	SYNPCC7942_RS06030
csaA		176742	177095	Secretion chaperone CsaA	csaA	SYNPCC7942_0179	SYNPCC7942_RS00910
ftrC		1804395	1804757	ferredoxin-thioredoxin reductase catalytic subunit	ftrC	SYNPCC7942_1734	SYNPCC7942_RS08825
atpC		2385395	2385808	ATP synthase F1, &epsilon; subunit	atpC	SYNPCC7942_2316	SYNPCC7942_RS11775
dppB		816064	817089	oligopeptide ABC type transporter, permease subunit	dppB // ddpA	SYNPCC7942_0822	SYNPCC7942_RS04250
SYNPCC7942_1138		1161580	1162590	conserved hypothetical protein YCF62	SYNPCC7942_1138	SYNPCC7942_1138	SYNPCC7942_RS05825
pdhB		145003	145983	pyruvate dehydrogenase complex E1 component &beta; subunit	pdhB // secD // secF // SYNPCC7942_0140	SYNPCC7942_0143	SYNPCC7942_RS00725
rpoZ		1780048	1780278	RNA polymerase subunit omega (rpoZ)	SYNPCC7942_1712 // SYNPCC7942_1711 // rpoZ	SYNPCC7942_1710	SYNPCC7942_RS08700
gutQ		2360280	2361251	KpsF/GutQ family protein	gutQ // kdsB // kdsA // kdsC	SYNPCC7942_2291	SYNPCC7942_RS11645
ruvC		792319	792804	crossover junction endodeoxyribonuclease RuvC	SYNPCC7942_0799 // ruvC	SYNPCC7942_0798	SYNPCC7942_RS04130
SYNPCC7942_1114		1131480	1132343	GTP-binding	SYNPCC7942_1115 // SYNPCC7942_1114 // SYNPCC7942_1113 // rluD // SYNPCC7942_1111	SYNPCC7942_1114	SYNPCC7942_RS05710
gatB		116943	118427	glutamyl-tRNA(Gln) amidotransferase, B subunit	gatB	SYNPCC7942_0118	SYNPCC7942_RS00590
sbpB		1753022	1754047	thiosulfate-binding protein	cysV // cysU // sbpB	SYNPCC7942_1686	SYNPCC7942_RS08590
hisS1		2331234	2332541	histidyl-tRNA synthetase	hisS1 // SYNPCC7942_2262 // cutA	SYNPCC7942_2263	SYNPCC7942_RS11500
SYNPCC7942_0773		765592	766197	conserved hypothetical protein YCF52	SYNPCC7942_0773 // SYNPCC7942_0772	SYNPCC7942_0773	SYNPCC7942_RS04010
clpB1		1104710	1107361	ClpB-1 monomer	clpB1	SYNPCC7942_1089	SYNPCC7942_RS05590
holB		91676	92611	DNA polymerase III, delta prime subunit	holB // tmk	SYNPCC7942_0094	SYNPCC7942_RS00475
katG		1725919	1728081	catalase/peroxidase monomer	katG	SYNPCC7942_1656	SYNPCC7942_RS08445
SYNPCC7942_2236		2301380	2303044	ATPase	SYNPCC7942_2237 // SYNPCC7942_2236	SYNPCC7942_2236	SYNPCC7942_RS11355
murZ		709992	711179	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murZ	SYNPCC7942_0715	SYNPCC7942_RS03670
thiS		1068576	1068788	thiamine biosynthesis protein ThiS	thiS // thiE // SYNPCC7942_1056 // cpcF // cpcE	SYNPCC7942_1058	SYNPCC7942_RS05425
SYNPCC7942_0071		69940	71139	pleiotropic regulatory protein	SYNPCC7942_0071 // SYNPCC7942_0070	SYNPCC7942_0071	SYNPCC7942_RS00350
ribC		1692985	1693719	riboflavin synthase, alpha subunit	ribC	SYNPCC7942_1624	SYNPCC7942_RS08285
rpsH		2292928	2293329	30S ribosomal subunit protein S8	rplE // rpsH // rplF // rplR // rpsE // rplO	SYNPCC7942_2219	SYNPCC7942_RS11270
SYNPCC7942_0685		678881	680548	Chaperonin Cpn60/TCP-1	SYNPCC7942_0685	SYNPCC7942_0685	SYNPCC7942_RS03510
SYNPCC7942_1035		1049766	1050560	putative proteasome-type protease	SYNPCC7942_1035	SYNPCC7942_1035	SYNPCC7942_RS05315
rpmB		40855	41091	50S ribosomal subunit protein L28	SYNPCC7942_0043 // rpmB	SYNPCC7942_0042	SYNPCC7942_RS00210
ampC		1668136	1669263	beta-lactamase	SYNPCC7942_1604 // ampC	SYNPCC7942_1603	SYNPCC7942_RS08180
prfA		2283183	2284289	peptide chain release factor 1	prfA	SYNPCC7942_2203	SYNPCC7942_RS11195
tyrA		655282	656253	arogenate dehydrogenase	SYNPCC7942_0661 // tyrA	SYNPCC7942_0660	SYNPCC7942_RS03380
SYNPCC7942_1009		1021351	1021950	transcriptional regulator, XRE family	sphR // sphS // rsuA1 // SYNPCC7942_1009	SYNPCC7942_1009	
phyA1		13577	14248	prolyl 4-hydroxylase	phyA1	SYNPCC7942_0015	SYNPCC7942_RS00075
SYNPCC7942_1579		1643490	1643957	dual specificity protein phosphatase	SYNPCC7942_1579	SYNPCC7942_1579	SYNPCC7942_RS08065
dpsA		2252196	2252726	starvation induced DNA binding protein	dpsA	SYNPCC7942_2171	SYNPCC7942_RS11035
secE		626925	627170	SecE subunit of protein translocation complex	secE // nusG // rplK	SYNPCC7942_0636	SYNPCC7942_RS03265
recO		992870	993670	DNA repair protein RecO	SYNPCC7942_0985 // recO // deoC // SYNPCC7942_0982	SYNPCC7942_0984	SYNPCC7942_RS05055
SYNPCC7942_1553		1610364	1611257	Phosphoesterase PHP-like	SYNPCC7942_1553	SYNPCC7942_1553	SYNPCC7942_RS07920
dapB		2215466	2216287	dihydrodipicolinate reductase	dapB // SYNPCC7942_2135	SYNPCC7942_2136	SYNPCC7942_RS10835
gltA		602209	603369	2-methylcitrate synthase/citrate synthase II	gltA	SYNPCC7942_0612	SYNPCC7942_RS03140
SYNPCC7942_0960		967595	968848	ATPase	SYNPCC7942_0960	SYNPCC7942_0960	SYNPCC7942_RS04935
modC		1590283	1590708	molybdate transport system molybdenum-pterin binding domain protein	modC	SYNPCC7942_1530	SYNPCC7942_RS07820
xylR		2192025	2192933	xylose repressor	xylR	SYNPCC7942_2111	SYNPCC7942_RS10700
valS		573854	576583	valyl-tRNA synthetase	valS	SYNPCC7942_0587	SYNPCC7942_RS03010
cysC		944618	945244	adenylylsulfate kinase	cysC	SYNPCC7942_0939	SYNPCC7942_RS04830
zds1		1561944	1563389	Carotene 7,8-desaturase	zds1 // SYNPCC7942_1511	SYNPCC7942_1512	SYNPCC7942_RS07730
ndhF3		2171430	2173268	proton-translocating NADH-quinone oxidoreductase, subunit NdhF3	ndhD3 // ndhF3	SYNPCC7942_2091	SYNPCC7942_RS10600
SYNPCC7942_0560		541275	541979	ATPase	SYNPCC7942_0560 // hslO	SYNPCC7942_0560	SYNPCC7942_RS02850
SYNPCC7942_1486		1536664	1536912	Protein of unknown function DUF37	SYNPCC7942_1486 // SYNPCC7942_1485 // murE // SYNPCC7942_1483	SYNPCC7942_1486	SYNPCC7942_RS07595
SYNPCC7942_2071		2147525	2149525	ATPase	SYNPCC7942_2071	SYNPCC7942_2071	SYNPCC7942_RS10500
SYNPCC7942_0528		512589	513578	lipopolysaccharide biosynthesis proteins LPS	SYNPCC7942_0528	SYNPCC7942_0528	
anL23		41755	42429	response regulator receiver domain protein (CheY-like)	anL23 // anL22	SYNPCC7942_B2647	SYNPCC7942_RS13565
irpB		1512709	1513965	iron-regulated protein B	irpA // irpB	SYNPCC7942_1461	SYNPCC7942_RS07475
ribF		479877	480824	riboflavin biosynthesis protein RibF	ribF	SYNPCC7942_0492	SYNPCC7942_RS02505
SYNPCC7942_2052		2129314	2130186	probable oligopeptides ABC transporter permease protein	SYNPCC7942_2052 // SYNPCC7942_2051	SYNPCC7942_2052	SYNPCC7942_RS10410
thrC		2693828	2694928	threonine synthase	thrC	SYNPCC7942_2612	SYNPCC7942_RS13305
menD		1488975	1490723	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase	SYNPCC7942_1436 // menD	SYNPCC7942_1435	SYNPCC7942_RS07340
pgmM		455066	456664	phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent	pgmM // secG // SYNPCC7942_0467	SYNPCC7942_0469	SYNPCC7942_RS02390
SYNPCC7942_2025		2093363	2094448	probable glycosyltransferase	SYNPCC7942_2028 // SYNPCC7942_2027 // SYNPCC7942_2026 // SYNPCC7942_2025	SYNPCC7942_2025	SYNPCC7942_RS10275
